email,label
I think we should respond to the email.,0
Congratulations! shopping voucher now!,1
Limited time offer shopping voucher now!,1
Get your shopping voucher now!,1
You have won money now now!,1
We need to meet after lunch.,0
I will respond to the email.,0
I will check the report.,0
Don't miss free gift now!,1
Earn money new iPhone now!,1
Please book the room.,0
Let's join the meeting.,0
I think we should attend the call.,0
Meeting at review the budget.,0
You have won lottery now!,1
Meeting at attend the call.,0
Win a vacation now!,1
Click here to lottery now!,1
Let's join the meeting.,0
Meeting at prepare the file.,0
Don't forget to prepare the file.,0
Can you prepare the file.,0
Win a credit offer now!,1
Please join the meeting.,0
You have won big prize now!,1
Try to respond to the email.,0
Don't miss new iPhone now!,1
We need to attend the call.,0
Please check the report.,0
Special discount big prize now!,1
You have won Bitcoin now!,1
We need to respond to the email.,0
Try to attend the call.,0
Congratulations! big prize now!,1
Meeting at respond to the email.,0
I will meet after lunch.,0
Special discount big prize now!,1
Try to check the report.,0
Let's schedule an appointment.,0
Get your big prize now!,1
Get your credit offer now!,1
We need to book the room.,0
Don't forget to join the meeting.,0
Click here to Bitcoin now!,1
Let's review the budget.,0
Please schedule an appointment.,0
Remember to check the report.,0
Claim your big prize now!,1
Try to review the budget.,0
Let's send me the slides.,0
Limited time offer money now now!,1
Don't miss money now now!,1
Don't forget to send me the slides.,0
Congratulations! shopping voucher now!,1
Earn money discount now!,1
Limited time offer lottery now!,1
I think we should schedule an appointment.,0
Please prepare the file.,0
I will check the report.,0
Don't forget to check the report.,0
Let's book the room.,0
Can you book the room.,0
Limited time offer lottery now!,1
Let's schedule an appointment.,0
Special discount credit offer now!,1
I think we should check the report.,0
I will book the room.,0
I will book the room.,0
I think we should attend the call.,0
Win a Bitcoin now!,1
Remember to respond to the email.,0
Remember to schedule an appointment.,0
Get your vacation now!,1
Let's book the room.,0
Please meet after lunch.,0
Don't forget to check the report.,0
Can you check the report.,0
You have won big prize now!,1
Congratulations! new iPhone now!,1
Win a shopping voucher now!,1
Special discount free gift now!,1
Don't forget to review the budget.,0
Claim your new iPhone now!,1
We need to meet after lunch.,0
Please attend the call.,0
Don't miss money now now!,1
Please schedule an appointment.,0
Meeting at review the budget.,0
I think we should send me the slides.,0
Get your free gift now!,1
Don't forget to review the budget.,0
Remember to attend the call.,0
Remember to check the report.,0
Special discount credit offer now!,1
Meeting at respond to the email.,0
Please attend the call.,0
Try to attend the call.,0
Meeting at join the meeting.,0
I will book the room.,0
Remember to schedule an appointment.,0
Don't forget to schedule an appointment.,0
Limited time offer free gift now!,1
We need to prepare the file.,0
Get your shopping voucher now!,1
Don't forget to prepare the file.,0
Don't miss discount now!,1
Let's respond to the email.,0
Limited time offer shopping voucher now!,1
Remember to respond to the email.,0
I will meet after lunch.,0
You have won credit offer now!,1
I think we should schedule an appointment.,0
Claim your Bitcoin now!,1
Can you respond to the email.,0
Please attend the call.,0
I think we should respond to the email.,0
I think we should join the meeting.,0
Please meet after lunch.,0
Congratulations! Bitcoin now!,1
Let's prepare the file.,0
Let's check the report.,0
Try to attend the call.,0
We need to review the budget.,0
Can you prepare the file.,0
We need to schedule an appointment.,0
Don't miss credit offer now!,1
Meeting at join the meeting.,0
We need to attend the call.,0
I will schedule an appointment.,0
Don't forget to book the room.,0
Please prepare the file.,0
Limited time offer new iPhone now!,1
Remember to review the budget.,0
Can you meet after lunch.,0
Special discount discount now!,1
Meeting at meet after lunch.,0
Earn money money now now!,1
Claim your credit offer now!,1
Remember to respond to the email.,0
Try to check the report.,0
Limited time offer money now now!,1
Try to respond to the email.,0
I think we should schedule an appointment.,0
Can you schedule an appointment.,0
Please review the budget.,0
Can you send me the slides.,0
Please review the budget.,0
Click here to new iPhone now!,1
Don't forget to join the meeting.,0
Win a free gift now!,1
Meeting at join the meeting.,0
I will prepare the file.,0
Click here to free gift now!,1
Remember to attend the call.,0
Don't forget to attend the call.,0
Win a vacation now!,1
Let's respond to the email.,0
Earn money money now now!,1
Meeting at book the room.,0
Earn money free gift now!,1
Let's attend the call.,0
Try to review the budget.,0
Click here to new iPhone now!,1
I will review the budget.,0
We need to send me the slides.,0
Special discount money now now!,1
Congratulations! big prize now!,1
Remember to book the room.,0
You have won money now now!,1
We need to meet after lunch.,0
Get your money now now!,1
You have won credit offer now!,1
I think we should attend the call.,0
Congratulations! money now now!,1
I think we should join the meeting.,0
Try to prepare the file.,0
I will join the meeting.,0
Please prepare the file.,0
Let's prepare the file.,0
You have won money now now!,1
Let's respond to the email.,0
Please send me the slides.,0
Win a new iPhone now!,1
Limited time offer vacation now!,1
Earn money vacation now!,1
I think we should send me the slides.,0
Let's send me the slides.,0
Win a vacation now!,1
Click here to vacation now!,1
Don't forget to meet after lunch.,0
Earn money shopping voucher now!,1
Claim your lottery now!,1
Please join the meeting.,0
Claim your Bitcoin now!,1
Please send me the slides.,0
You have won discount now!,1
Click here to vacation now!,1
Get your new iPhone now!,1
Click here to credit offer now!,1
Let's join the meeting.,0
Special discount free gift now!,1
Try to check the report.,0
Please book the room.,0
Meeting at attend the call.,0
Don't forget to meet after lunch.,0
Remember to join the meeting.,0
Special discount money now now!,1
Let's meet after lunch.,0
Meeting at respond to the email.,0
Don't miss lottery now!,1
Try to send me the slides.,0
Earn money new iPhone now!,1
Meeting at schedule an appointment.,0
Please attend the call.,0
Get your credit offer now!,1
Limited time offer lottery now!,1
Don't miss discount now!,1
Don't miss Bitcoin now!,1
We need to review the budget.,0
Try to send me the slides.,0
I think we should book the room.,0
Remember to prepare the file.,0
Congratulations! vacation now!,1
Claim your free gift now!,1
Special discount lottery now!,1
Let's send me the slides.,0
Don't forget to meet after lunch.,0
Can you send me the slides.,0
Can you prepare the file.,0
I think we should review the budget.,0
Limited time offer money now now!,1
Win a lottery now!,1
Win a money now now!,1
I will review the budget.,0
Remember to respond to the email.,0
Don't forget to send me the slides.,0
Remember to review the budget.,0
Special discount credit offer now!,1
Let's send me the slides.,0
I think we should send me the slides.,0
Meeting at prepare the file.,0
Don't forget to attend the call.,0
You have won vacation now!,1
Congratulations! lottery now!,1
Win a shopping voucher now!,1
Special discount new iPhone now!,1
Don't forget to respond to the email.,0
Claim your lottery now!,1
Limited time offer shopping voucher now!,1
Special discount free gift now!,1
Meeting at send me the slides.,0
Let's book the room.,0
I think we should check the report.,0
Don't miss Bitcoin now!,1
I think we should send me the slides.,0
Let's meet after lunch.,0
Win a shopping voucher now!,1
Special discount big prize now!,1
Limited time offer shopping voucher now!,1
I think we should schedule an appointment.,0
Let's check the report.,0
Special discount discount now!,1
Meeting at book the room.,0
Try to send me the slides.,0
Let's book the room.,0
Win a free gift now!,1
Don't miss money now now!,1
Can you join the meeting.,0
Don't forget to attend the call.,0
Special discount credit offer now!,1
I will send me the slides.,0
You have won Bitcoin now!,1
Please send me the slides.,0
Get your Bitcoin now!,1
I think we should join the meeting.,0
Let's review the budget.,0
Remember to schedule an appointment.,0
Don't forget to send me the slides.,0
I will meet after lunch.,0
I will meet after lunch.,0
Win a Bitcoin now!,1
Let's review the budget.,0
We need to book the room.,0
Can you review the budget.,0
I think we should attend the call.,0
Special discount vacation now!,1
Earn money new iPhone now!,1
Don't miss free gift now!,1
Meeting at check the report.,0
Let's book the room.,0
I think we should attend the call.,0
I will send me the slides.,0
I think we should review the budget.,0
Remember to book the room.,0
Click here to credit offer now!,1
Please attend the call.,0
Get your money now now!,1
Don't forget to review the budget.,0
Meeting at book the room.,0
I think we should send me the slides.,0
Let's prepare the file.,0
Get your Bitcoin now!,1
Don't miss free gift now!,1
Limited time offer big prize now!,1
Claim your lottery now!,1
You have won lottery now!,1
Special discount shopping voucher now!,1
I will check the report.,0
Claim your Bitcoin now!,1
Can you prepare the file.,0
I think we should respond to the email.,0
Don't forget to join the meeting.,0
Don't forget to meet after lunch.,0
Special discount shopping voucher now!,1
Get your big prize now!,1
You have won Bitcoin now!,1
Try to check the report.,0
Can you book the room.,0
Limited time offer discount now!,1
Win a big prize now!,1
Claim your Bitcoin now!,1
Remember to join the meeting.,0
Win a Bitcoin now!,1
Special discount lottery now!,1
Get your discount now!,1
Please send me the slides.,0
Click here to Bitcoin now!,1
Can you check the report.,0
Try to join the meeting.,0
Remember to attend the call.,0
Limited time offer money now now!,1
Meeting at schedule an appointment.,0
Special discount lottery now!,1
Can you prepare the file.,0
Don't forget to book the room.,0
Win a new iPhone now!,1
You have won discount now!,1
Can you join the meeting.,0
Let's attend the call.,0
Can you book the room.,0
Limited time offer vacation now!,1
Get your big prize now!,1
Remember to review the budget.,0
Special discount shopping voucher now!,1
Special discount new iPhone now!,1
Get your Bitcoin now!,1
Win a money now now!,1
Remember to attend the call.,0
You have won shopping voucher now!,1
Special discount big prize now!,1
You have won lottery now!,1
We need to schedule an appointment.,0
Don't miss money now now!,1
Claim your money now now!,1
Try to respond to the email.,0
You have won big prize now!,1
I will meet after lunch.,0
I will check the report.,0
We need to meet after lunch.,0
Please check the report.,0
I will prepare the file.,0
Meeting at prepare the file.,0
Don't miss discount now!,1
We need to respond to the email.,0
Claim your credit offer now!,1
We need to book the room.,0
I will meet after lunch.,0
You have won big prize now!,1
Don't miss free gift now!,1
Special discount Bitcoin now!,1
Can you book the room.,0
Please review the budget.,0
Let's attend the call.,0
Special discount Bitcoin now!,1
Please respond to the email.,0
Try to check the report.,0
Earn money money now now!,1
Limited time offer big prize now!,1
Earn money new iPhone now!,1
You have won Bitcoin now!,1
Don't forget to send me the slides.,0
Click here to shopping voucher now!,1
Let's review the budget.,0
Get your vacation now!,1
Can you send me the slides.,0
Try to respond to the email.,0
Try to book the room.,0
Click here to free gift now!,1
Can you join the meeting.,0
You have won free gift now!,1
Don't miss new iPhone now!,1
Let's schedule an appointment.,0
Don't miss shopping voucher now!,1
Get your shopping voucher now!,1
You have won vacation now!,1
Please prepare the file.,0
Get your discount now!,1
Earn money credit offer now!,1
Remember to send me the slides.,0
Don't forget to prepare the file.,0
Can you review the budget.,0
Click here to free gift now!,1
Don't forget to send me the slides.,0
Meeting at attend the call.,0
Try to check the report.,0
Meeting at meet after lunch.,0
Congratulations! lottery now!,1
You have won big prize now!,1
Meeting at respond to the email.,0
I think we should prepare the file.,0
Meeting at respond to the email.,0
Claim your money now now!,1
Win a big prize now!,1
Don't miss shopping voucher now!,1
Let's send me the slides.,0
We need to book the room.,0
Claim your credit offer now!,1
Let's review the budget.,0
I think we should attend the call.,0
I will attend the call.,0
I will respond to the email.,0
Let's attend the call.,0
Earn money lottery now!,1
Win a discount now!,1
Earn money lottery now!,1
Try to join the meeting.,0
Let's check the report.,0
You have won vacation now!,1
Can you prepare the file.,0
Let's meet after lunch.,0
Try to check the report.,0
We need to attend the call.,0
Let's prepare the file.,0
Remember to book the room.,0
Limited time offer shopping voucher now!,1
Can you respond to the email.,0
Claim your discount now!,1
Please meet after lunch.,0
Don't forget to schedule an appointment.,0
I think we should schedule an appointment.,0
Get your vacation now!,1
Let's schedule an appointment.,0
Remember to send me the slides.,0
Can you schedule an appointment.,0
Don't forget to meet after lunch.,0
Meeting at check the report.,0
I will schedule an appointment.,0
Don't forget to review the budget.,0
Earn money free gift now!,1
We need to meet after lunch.,0
Please schedule an appointment.,0
Don't miss shopping voucher now!,1
We need to send me the slides.,0
Try to check the report.,0
Earn money discount now!,1
Get your discount now!,1
Meeting at book the room.,0
Don't forget to attend the call.,0
Claim your big prize now!,1
Let's review the budget.,0
Please join the meeting.,0
I think we should send me the slides.,0
Remember to book the room.,0
Win a discount now!,1
Let's review the budget.,0
You have won big prize now!,1
Try to meet after lunch.,0
I think we should prepare the file.,0
You have won vacation now!,1
Meeting at book the room.,0
Get your big prize now!,1
Let's respond to the email.,0
Can you schedule an appointment.,0
Let's schedule an appointment.,0
You have won new iPhone now!,1
Try to book the room.,0
Remember to attend the call.,0
Win a discount now!,1
Can you prepare the file.,0
Please book the room.,0
Don't miss big prize now!,1
Click here to free gift now!,1
You have won vacation now!,1
Remember to attend the call.,0
Don't miss lottery now!,1
Don't miss shopping voucher now!,1
Please respond to the email.,0
Let's join the meeting.,0
We need to review the budget.,0
Please join the meeting.,0
Don't forget to review the budget.,0
Don't miss lottery now!,1
We need to book the room.,0
Please prepare the file.,0
I think we should join the meeting.,0
Get your vacation now!,1
Let's join the meeting.,0
Let's respond to the email.,0
Try to check the report.,0
Limited time offer discount now!,1
